ID,year,month,week,usa,after,sales
13,2012,2,7,1,1,25460.91667
13,2012,2,8,1,1,33163.68333
13,2012,2,9,1,1,41026.96667
13,2012,2,10,1,1,60678.53333
13,2012,3,11,1,1,24392.6
13,2012,3,12,1,1,34361.7
13,2012,3,13,1,1,47614.6
13,2012,3,14,1,1,61698.53333
13,2012,4,15,1,1,42603.33333
13,2012,4,16,1,1,47272.9
15,2011,4,16,1,0,72407.06667
15,2011,4,17,1,0,57717.76667
15,2011,4,18,1,0,116942.6333
15,2011,5,19,1,0,83847.2
15,2011,5,20,1,0,122821.3667
15,2011,5,21,1,0,129193.8333
15,2011,5,22,1,0,76638.03333
15,2011,5,23,1,0,81442.13333
15,2011,6,24,1,0,130810.2667
15,2011,6,25,1,0,111385.8667
15,2011,6,26,1,0,111300.2667
15,2011,6,27,1,0,92230.36667
15,2011,7,28,1,0,114690.4
15,2011,7,29,1,0,50918.83333
15,2011,7,30,1,0,113838.6667
15,2011,7,31,1,0,58184.2
15,2011,8,32,1,0,63828
15,2011,8,33,1,0,84686.26667
15,2011,8,34,1,0,72847.63333
15,2011,8,35,1,0,62062.43333
15,2011,8,36,1,0,25189.78667
15,2011,9,37,1,0,117142.3333
15,2011,9,38,1,0,75558.66667
15,2011,9,39,1,0,100588.3333
15,2011,9,40,1,0,83251.83333
15,2011,10,41,1,0,124570.4333
15,2011,10,42,1,0,212912.8333
15,2011,10,43,1,1,105595.1
15,2011,10,44,1,1,79394.46667
15,2011,10,45,1,1,82559.8
15,2011,11,46,1,1,86067.63333
15,2011,11,47,1,1,86476.9
15,2011,11,48,1,1,128835.9333
15,2011,11,49,1,1,96881.1
15,2011,12,50,1,1,107020.8
15,2011,12,51,1,1,139839.1333
15,2011,12,52,1,1,116857.1333
15,2011,12,53,1,1,109394
15,2012,1,1,1,1,36407.33333
15,2012,1,2,1,1,78225.63333
15,2012,1,3,1,1,72224.66667
15,2012,1,4,1,1,62494.66667
15,2012,1,5,1,1,43906.06667
15,2012,1,6,1,1,73745.86667
15,2012,2,7,1,1,57928.8
15,2012,2,8,1,1,77379.26667
15,2012,2,9,1,1,65133.66667
15,2012,2,10,1,1,72314.66667
15,2012,3,11,1,1,71489.63333
15,2012,3,12,1,1,69339.36667
15,2012,3,13,1,1,103196.1
15,2012,3,14,1,1,100736.7667
15,2012,4,15,1,1,59145.2
15,2012,4,16,1,1,122698.6667
17,2011,4,16,1,0,84849.56667
17,2011,4,17,1,0,66399.86667
17,2011,4,18,1,0,82321.9
17,2011,5,19,1,0,93896.43333
17,2011,5,20,1,0,111779.5
17,2011,5,21,1,0,107314.7667
17,2011,5,22,1,0,108746.4667
17,2011,5,23,1,0,103986.3333
17,2011,6,24,1,0,91173.93333
17,2011,6,25,1,0,88053.73333
17,2011,6,26,1,0,129181.5333
17,2011,6,27,1,0,97740.36667
17,2011,7,28,1,0,105160.8333
17,2011,7,29,1,0,80317.86667
17,2011,7,30,1,0,101226.8667
17,2011,7,31,1,0,79482.36667
17,2011,8,32,1,0,48322.13333
17,2011,8,33,1,0,119819.2333
17,2011,8,34,1,0,65397.16667
17,2011,8,35,1,0,59101.73333
17,2011,8,36,1,0,65850.03333
17,2011,9,37,1,0,130999.2667
17,2011,9,38,1,0,90093.83333
17,2011,9,39,1,0,123007.8667
17,2011,9,40,1,0,115404.8667
17,2011,10,41,1,0,95252.03333
17,2011,10,42,1,0,165438.8667
17,2011,10,43,1,1,64383.03333
17,2011,10,44,1,1,86022.33333
17,2011,10,45,1,1,78449.16667
17,2011,11,46,1,1,104294.3333
17,2011,11,47,1,1,95743.1
17,2011,11,48,1,1,111553.2
17,2011,11,49,1,1,151845.3333
17,2011,12,50,1,1,102382.6
17,2011,12,51,1,1,84232.96667
17,2011,12,52,1,1,88575.83333
17,2011,12,53,1,1,93033.73333
17,2012,1,1,1,1,38995.93333
17,2012,1,2,1,1,101503.7
17,2012,1,3,1,1,48549.2
17,2012,1,4,1,1,54102.36667
17,2012,1,5,1,1,43835.33333
17,2012,1,6,1,1,60956.6
17,2012,2,7,1,1,59074.66667
17,2012,2,8,1,1,61171
17,2012,2,9,1,1,80867.26667
17,2012,2,10,1,1,63465.03333
17,2012,3,11,1,1,118669.4
17,2012,3,12,1,1,73678.73333
17,2012,3,13,1,1,80905.53333
17,2012,3,14,1,1,120992.8667
17,2012,4,15,1,1,79498.2
17,2012,4,16,1,1,63309.9
